Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,1.538956845779612e-11,1.4122159502148385e-10,6.853826387995535e-11,2.666346704351119e-10,0.8580455656459399,1.7951033168491806e-10,1.8930788999449514e-09,1.8930788999449514e-09,7.160707759227856e-10,0.810822489095107,4.088591601178908e-10,1.142823184551908e-10,5.4731691562029795e-11
FELIX-CYS-1046_ARTERIAL,3.1215350959459524e-11,2.7177605645555754e-10,4.0275322085667493e-10,2.552993767490434e-10,0.5071544591052404,1.2878698116506023e-10,6.433764354154511e-09,6.433764354154511e-09,8.96523281905898e-10,0.7944969290005768,2.9951149665909557e-10,1.580827721145021e-10,3.716960862737482e-10
FELIX-CYS-1050_VENOUS,1.793017952201494e-11,1.8099121646350563e-10,0.00015957174959668584,2.80119891235015e-10,1.4722835262556322e-10,0.4570879054488876,3.2648796785240143e-09,3.2648796785240143e-09,1.054852319562392e-09,0.7940775920131783,3.3187199022574864e-10,1.764029324912323e-10,5.257054177872583e-11
FELIX-CYS-1086_VENOUS,2.0851500202450314e-11,2.0708950196898845e-10,1.22393028478117e-10,2.2755769151197122e-10,0.5234231848416541,0.6271872136440036,4.404704204709932e-09,4.404704204709932e-09,3.5004200381531083e-09,0.8432087317800966,4.682722157853289e-10,2.1635327889531028e-10,5.467970813859995e-11
FELIX-CYS-1108_ARTERIAL,1.872099299107138e-11,1.6862581759599857e-10,1.6740912611307667e-10,2.1861172803419707e-10,0.9120818269712252,1.6339388708119798e-10,2.596053991183661e-09,2.596053991183661e-09,9.62037980333983e-10,0.8456060660559962,3.675119440031195e-10,1.5834986767361087e-10,3.894337282948359e-11
FELIX-CYS-1113_VENOUS,2.7516235954268122e-11,2.5307037627691204e-10,0.012705324216934686,3.24528865114598e-10,0.6554758308699214,0.4502160497002684,3.9334460766493095e-09,3.9334460766493095e-09,2.1968365505341905e-09,0.7592872497902209,5.971539638499985e-10,2.336579620741215e-10,6.047481193479637e-11
FELIX-CYS-1144_ARTERIAL,1.1080852995076104e-11,1.0321110385274552e-10,6.207451797199604e-11,1.3719698329390792e-10,1.5887364935014744e-10,1.1007833172874958e-10,3.728977873255853e-09,3.728977873255853e-09,3.840540733387585e-09,0.8430024103411401,2.7635607920465935e-10,9.976933329145324e-11,5.2089003435681855e-11
FELIX-CYS-1182_ARTERIAL,2.065750354853238e-11,1.9344080900942043e-10,2.5857699899191765e-10,3.4846848090446093e-10,1.704152337295348e-10,0.37458137415448034,1.0448228916014745e-08,1.0448228916014745e-08,1.0,0.9056362822701205,6.510204741700983e-10,1.8738627991624094e-10,1.8680729516359515e-10
FELIX-CYS-1201_ARTERIAL,1.8499364823966533e-11,2.510138449133296e-11,1.3641020182756794e-10,3.0537614697589783e-10,0.7465506368168139,1.5896204142885225e-10,2.016698257539027e-09,2.016698257539027e-09,9.898539955557e-10,0.8122456838236161,7.734490407116899e-10,5.729956325944557e-11,5.410681550798147e-11
FELIX-CYS-1205_VENOUS,1.6029450588721177e-11,1.7228161149251324e-10,0.0031944189281075284,4.5206321631583703e-10,0.8909574355930069,1.310664087107959e-10,2.4120215094140683e-09,2.4120215094140683e-09,1.6206930057037164e-09,0.9134190294506535,4.886534662689092e-10,1.5802631451692522e-10,6.435358432962204e-11
FELIX-CYS-1211_VENOUS,3.279988690491412e-11,4.0276457588778795e-10,1.3699624765400829e-10,1.1018312423127094e-09,0.47088262851790136,0.6188401396798447,7.150007098884549e-09,7.150007098884549e-09,5.054589541778258e-09,0.8535638522203323,1.3354700836866051e-09,4.3834463512703465e-10,1.183387137861834e-10
FELIX-CYS-1243_ARTERIAL,2.3432269843595874e-11,2.6722391753811313e-10,1.1953758080805763e-10,6.655308269449933e-10,0.8681035851195673,2.78539893798716e-10,5.81327749207489e-09,5.81327749207489e-09,1.010356149522247e-09,0.8589988346202261,4.723420131819594e-10,6.645300267570433e-05,9.309808068130125e-11
FELIX-CYS-1313_ARTERIAL,1.5575916393222484e-11,1.5558414844041142e-10,1.0206654125049207e-10,3.2670556630270394e-10,1.5728488536962974e-10,1.377795719549985e-10,2.926286826072377e-09,2.926286826072377e-09,1.5074316357028675e-09,0.7556595748458407,4.907638245760959e-10,1.5844069007916638e-10,7.916076918309563e-11
FELIX-CYS-1341_ARTERIAL,2.3362799273992538e-11,2.1252991354016818e-10,1.6096294469458684e-10,7.240762591873864e-10,2.614556805792144e-10,2.640277967767413e-10,4.030470339645841e-09,4.030470339645841e-09,1.0,0.5068827846955544,2.2855575612448157e-10,2.1216422355061832e-10,1.1414560869125833e-10
FELIX-CYS-1346_VENOUS,1.8992587572561322e-11,1.0870723184548929e-10,0.001822500678107129,4.079468035703721e-10,0.5745047831614221,0.6118753032679027,3.2086247731225543e-09,3.2086247731225543e-09,1.4441475897983282e-09,0.7954806245897598,3.295620448897905e-10,1.712654288449919e-10,1.1102574463734266e-10
