Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,0.9288356460776914,0.9017065685847493,0.9413857949219664,0.8519306085427109,1.1528653313619877e-10,2.278044435015811e-10,1.8911456524619963e-09,1.8930788999449514e-09,7.160707759227856e-10,0.6101845930502251,4.088140303303978e-10,0.9081185547068757,5.469864057169386e-11
FELIX-CYS-1046_ARTERIAL,0.9518194075246893,1.24386927913498e-10,0.8866546899183626,0.5777914699353393,0.3231523241606892,1.1552279841092352e-10,2.3104826544893082e-09,5.465376807862618e-09,8.96523281905898e-10,0.4025822349716232,2.905363590882573e-10,0.922121932663605,2.3098582434660213e-10
FELIX-CYS-1050_VENOUS,0.9712250963461914,0.9488868983905379,0.9547944485127156,0.837516455493532,0.4160474796776398,3.2100049423772e-10,3.1536787563351768e-09,3.2648796785240143e-09,1.054852319562392e-09,0.6371180180756717,3.3087055340387364e-10,0.9349925405936821,5.229146425238938e-11
FELIX-CYS-1086_VENOUS,0.9637051587958132,0.8996532274028021,0.9642638475061248,0.8034511131716563,0.2752974092001208,0.45493635408047384,3.57551486135757e-09,4.203093459132929e-09,3.5004200381531083e-09,0.6917256465807483,4.625796213033738e-10,0.880267806192219,5.1565848554631654e-11
FELIX-CYS-1108_ARTERIAL,0.9410934619849435,0.9141320097840386,0.9533494381723561,0.721359901641254,0.21680683338351378,8.945127901111152e-11,2.5948414484538863e-09,2.596053991183661e-09,9.62037980333983e-10,0.812231930106457,3.674795312550604e-10,0.9013951178710568,3.894064316551056e-11
FELIX-CYS-1113_VENOUS,0.9530609064993201,0.9244623433196415,0.9443031604759867,0.8073160801679881,0.4635450600564713,0.2561048542726287,3.3342224482054466e-09,3.9334460766493095e-09,2.1968365505341905e-09,0.5155850780471906,5.865928338378464e-10,0.9167276604424139,5.85576089722813e-11
FELIX-CYS-1144_ARTERIAL,0.9585725281315313,0.9440174879563331,0.9185405687054256,0.7462159481590103,1.819879268878085e-10,0.31748875184843,3.6609921154640597e-09,3.728977873255853e-09,3.840540733387585e-09,0.538073666346474,2.7635607920465935e-10,0.9178306888009491,5.190585316083777e-11
FELIX-CYS-1182_ARTERIAL,0.9516243004356889,0.903853320705488,0.941427965113845,0.8595203069849512,0.11824656420626735,1.56773230632741e-10,1.0318852437118437e-08,1.0448228916014745e-08,1.0,0.7575530142545414,6.506138537481124e-10,0.8780755996651112,1.8669638869689726e-10
FELIX-CYS-1201_ARTERIAL,0.9397139000832545,0.731961221676961,0.9334951173547847,0.8466816427345559,7.94013771311805e-11,1.303033461729512e-10,1.9997600247975043e-09,2.016698257539027e-09,9.898539955557e-10,0.6910942934732311,7.696629639954259e-10,0.9071545441580141,5.4062499490241315e-11
FELIX-CYS-1205_VENOUS,0.9627786497538457,0.9251276176077439,0.9617761811798188,0.835066731255898,0.3793613917131537,0.2590711627164888,2.389885996726129e-09,2.4120215094140683e-09,1.6206930057037164e-09,0.5680304646166593,4.88352785814156e-10,0.9104071754619668,6.156380688039792e-11
FELIX-CYS-1211_VENOUS,0.9589902733677313,0.9028772260302774,0.9509241465698473,0.8278267528217937,0.354764750252075,0.6632734757295625,6.433764354154511e-09,7.104290941288073e-09,5.054589541778258e-09,0.47297340599825993,1.3214927564733418e-09,0.8901553605121799,1.1418601357052975e-10
FELIX-CYS-1243_ARTERIAL,0.9411412014533359,0.9058516952438933,0.952081741722192,0.8015894890793535,0.1743254174682691,1.5832905842368715e-10,5.6315818796441856e-09,5.81327749207489e-09,1.010356149522247e-09,0.7072655554634267,4.721145536524602e-10,0.9004318228686956,9.295658647677279e-11
FELIX-CYS-1313_ARTERIAL,0.9350908523271568,0.9352494394285044,0.9386424511824899,0.6956245303317407,0.4662502932075939,3.322678609484693e-10,2.9252596082338466e-09,2.926286826072377e-09,1.5074316357028675e-09,0.3058815607450243,4.907638245760959e-10,0.9076000627222063,7.915926526909723e-11
FELIX-CYS-1341_ARTERIAL,0.959565051907009,0.9236485250455152,0.9464188342166262,0.659834655320952,0.24598660627067218,3.4715592496323416e-10,4.015902959656629e-09,4.030470339645841e-09,1.0,0.22834574788761247,2.2835846793656238e-10,0.9117261423348826,1.1391662440960813e-10
FELIX-CYS-1346_VENOUS,0.9639176786257498,0.9235913197990769,0.9392359678593254,0.7820648758386193,0.4303733573588749,0.5798943065142964,3.051757803186775e-09,3.207389815872122e-09,1.4441475897983282e-09,0.5738148167317251,3.2809583012244674e-10,0.8910904869020215,1.0800395725332934e-10
