Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,1.542086628234649e-11,1.4122159502148385e-10,6.853826387995535e-11,2.666346704351119e-10,0.8686639436642672,0.6615938624379931,1.8930788999449514e-09,1.8930788999449514e-09,0.8662636141202443,0.9439915032195151,4.088591601178908e-10,1.142823184551908e-10,5.4731691562029795e-11
FELIX-CYS-1046_ARTERIAL,3.1488912280660396e-11,2.7177605645555754e-10,4.0275322085667493e-10,2.552993767490434e-10,0.47839756962528696,0.681233207885674,6.433764354154511e-09,6.433764354154511e-09,0.8805236570900394,0.9189296103784225,2.9951149665909557e-10,1.580827721145021e-10,3.716960862737482e-10
FELIX-CYS-1050_VENOUS,1.7931857863883e-11,1.8099121646350563e-10,1.1082248010616546e-10,2.80119891235015e-10,0.9016750256089334,0.8090222523520494,3.2648796785240143e-09,3.2648796785240143e-09,4.983454927150135e-10,0.9408826664047165,3.3187199022574864e-10,1.764029324912323e-10,5.257054177872583e-11
FELIX-CYS-1086_VENOUS,2.085160455138708e-11,2.0708950196898845e-10,1.2239842153497433e-10,2.2755769151197122e-10,0.8737840359435569,0.875152553368694,4.404704204709932e-09,4.404704204709932e-09,0.8280093975454795,0.935797012994052,4.682722157853289e-10,2.1635327889531028e-10,5.467970813859995e-11
FELIX-CYS-1108_ARTERIAL,1.8733681791952843e-11,1.6862581759599857e-10,1.6740912611307667e-10,2.1861172803419707e-10,0.9243344731302215,0.8630537837078869,2.596053991183661e-09,2.596053991183661e-09,0.8793129495473317,0.9437762476433007,3.675119440031195e-10,1.5834986767361087e-10,3.894337282948359e-11
FELIX-CYS-1113_VENOUS,2.7527620525487755e-11,2.5307037627691204e-10,2.9931068739713124e-10,3.24528865114598e-10,0.8512750573174189,0.8639746001746047,3.9334460766493095e-09,3.9334460766493095e-09,0.8988771140683023,0.8605797856457034,5.971539638499985e-10,2.336579620741215e-10,6.047481193479637e-11
FELIX-CYS-1144_ARTERIAL,1.1115112551506153e-11,1.0321110385274552e-10,6.207451797199604e-11,1.3719698329390792e-10,0.8850628822958796,0.8529829428670967,3.728977873255853e-09,3.728977873255853e-09,1.962361894930509e-09,0.956779862507854,2.7635607920465935e-10,9.976933329145324e-11,5.2089003435681855e-11
FELIX-CYS-1182_ARTERIAL,2.0676519165465158e-11,1.9344080900942043e-10,2.5857699899191765e-10,3.4846848090446093e-10,0.8551628365297008,0.6090728005166822,1.0448228916014745e-08,1.0448228916014745e-08,5.513286991326017e-09,0.923021495190741,6.510204741700983e-10,1.8738627991624094e-10,1.8680729516359515e-10
FELIX-CYS-1201_ARTERIAL,1.850162379467006e-11,2.510138449133296e-11,1.3641020182756794e-10,3.0537614697589783e-10,0.8587197686831336,0.5332023567071056,2.016698257539027e-09,2.016698257539027e-09,0.8628287786417368,0.9554863366984766,7.734490407116899e-10,5.729956325944557e-11,5.410681550798147e-11
FELIX-CYS-1205_VENOUS,1.6029728092274333e-11,1.7228161149251324e-10,1.7313469010221275e-10,4.5206321631583703e-10,0.9189023884223176,0.8683194346019913,2.4120215094140683e-09,2.4120215094140683e-09,0.8861234599162243,0.9494279862456123,4.886534662689092e-10,1.5802631451692522e-10,6.435358432962204e-11
