Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,1.542086628234649e-11,1.4118391179094843e-10,6.853826387995535e-11,2.666346704351119e-10,0.8720847161397569,2.090502012716419e-10,1.8930788999449514e-09,1.8930788999449514e-09,7.160707759227856e-10,0.8386906362207199,4.088591601178908e-10,1.142823184551908e-10,5.4731691562029795e-11
FELIX-CYS-1046_ARTERIAL,3.1488912280660396e-11,2.714131395792518e-10,4.0275322085667493e-10,2.552993767490434e-10,0.6573093834965847,1.4598859826916086e-10,6.433764354154511e-09,6.433764354154511e-09,8.96523281905898e-10,0.8249093872604912,2.9951149665909557e-10,1.580827721145021e-10,3.716960862737482e-10
FELIX-CYS-1050_VENOUS,1.7931857863883e-11,0.010978727097987882,1.1081953259525832e-10,2.80119891235015e-10,0.9018993330636498,2.2754474662265693e-10,3.2648796785240143e-09,3.2648796785240143e-09,1.054852319562392e-09,0.8132244476847682,3.3187199022574864e-10,1.764029324912323e-10,5.257054177872583e-11
FELIX-CYS-1086_VENOUS,2.0851187161906318e-11,2.070740641376558e-10,1.2239482611092953e-10,2.2755769151197122e-10,2.835573323857949e-06,0.8542401368433244,4.404704204709932e-09,4.404704204709932e-09,3.5004200381531083e-09,0.8019503578356179,4.682722157853289e-10,2.1635327889531028e-10,5.467970813859995e-11
FELIX-CYS-1108_ARTERIAL,1.8733681791952843e-11,0.00024279186846038167,1.6739399354070204e-10,2.1861172803419707e-10,0.9186871810276516,1.612071188803832e-10,2.596053991183661e-09,2.596053991183661e-09,9.62037980333983e-10,0.8604557494479997,3.675119440031195e-10,1.5834986767361087e-10,3.894337282948359e-11
FELIX-CYS-1113_VENOUS,2.7526438455218303e-11,2.5307037627691204e-10,2.9931068739713124e-10,3.24528865114598e-10,0.6718004380717207,0.40245937766953577,3.9334460766493095e-09,3.9334460766493095e-09,2.1968365505341905e-09,0.7701213494475205,5.971539638499985e-10,2.336579620741215e-10,6.047481193479637e-11
FELIX-CYS-1144_ARTERIAL,1.1115112551506153e-11,0.01928132689404143,6.206827634149293e-11,1.3719698329390792e-10,0.886895372519366,1.2972153972596047e-10,3.728977873255853e-09,3.728977873255853e-09,3.840540733387585e-09,0.847638257313411,2.7635607920465935e-10,9.976933329145324e-11,5.2089003435681855e-11
FELIX-CYS-1182_ARTERIAL,2.06726978569302e-11,1.9344080900942043e-10,2.5857699899191765e-10,3.4846848090446093e-10,0.7337997534699517,0.27592766684386894,1.0448228916014745e-08,1.0448228916014745e-08,1.0,0.8037493493806075,6.510204741700983e-10,1.8738627991624094e-10,1.8680729516359515e-10
FELIX-CYS-1201_ARTERIAL,4.884311246605556e-05,2.5100830033617522e-11,1.3641020182756794e-10,3.0537614697589783e-10,0.8602186266318186,1.4817251427298825e-10,2.016698257539027e-09,2.016698257539027e-09,9.898539955557e-10,0.8591661499388341,7.734490407116899e-10,5.729956325944557e-11,5.410681550798147e-11
FELIX-CYS-1205_VENOUS,1.6029728092274333e-11,0.0453667809036378,1.7309513132327854e-10,4.5206321631583703e-10,0.9017859057233617,1.3500250427822905e-10,2.4120215094140683e-09,2.4120215094140683e-09,1.6206930057037164e-09,0.9450959635461945,4.886534662689092e-10,1.5802631451692522e-10,6.435358432962204e-11
FELIX-CYS-1211_VENOUS,3.280485800473621e-11,4.025505601883331e-10,1.369793585616922e-10,1.1018312423127094e-09,2.6727105554232747e-10,0.7457067175710127,7.150007098884549e-09,7.150007098884549e-09,5.054589541778258e-09,0.8585000094594202,1.3354700836866051e-09,4.3834463512703465e-10,1.183387137861834e-10
